Name,LivePerson,Website
Oregon Health & Science University,,https://www.oregon.gov/oha/pages/index.aspx
Oregon Institute of Technology,,https://www.oit.edu/technology-services/helpdesk
Oregon State University,,https://admissions.oregonstate.edu/live-chat-osu-undergraduate-admissions
Pacific Northwest College of Art,,https://pnca.willamette.edu/
Pacific University,,https://www.pacificu.edu/about/pacific-directory/offices-departments/finance-administration/university-information-services/technology-helpdesk
Portland Community College,,https://www.pcc.edu/help-desk/student-help-desk-3/chat/
Portland State University[16],,https://www.pdx.edu/technology/support
Reed College,,https://www.reed.edu/student-support/index.html
Rogue Community College,403,https://www.roguecc.edu/VSC/
Southern Oregon University,ERROR,
Southwestern Oregon Community College,403,https://www.socc.edu/resources/trio-programs/
Sumner College,,https://www.sumnercollege.edu/contact/
Tillamook Bay Community College,,https://tillamookbaycc.edu/
Treasure Valley Community College,,https://www.tvcc.cc/it/helpdesk.cfm
Umpqua Community College,404,https://www.umpqua.edu/contact-ucconline/343-ucconline-support
University of Oregon,,https://livehelp.uoregon.edu/
University of Portland,,https://www.up.edu/is/support/helpdesk.html
University of Western States,403,https://www.uws.edu/about/contact-us/
Warner Pacific University,,https://www.warnerpacific.edu/contact/
Western Oregon University,,https://wou.edu/tech/
Western Seminary,,https://www.westernseminary.edu/online-contact
Willamette University,,https://willamette.edu/offices/wits/helpdesk/index.html
Southern Utah University,,https://my.suu.edu/help/
University of Utah,,https://support.faculty.utah.edu/live-chat/
Utah State University,,https://it.usu.edu/service-desk/
Utah Tech University,ERROR,
Utah Valley University,,https://www.uvu.edu/servicedesk/
Weber State University,,https://www.weber.edu/help
Brigham Young University,,https://oit.byu.edu/contact
Broadview University,,https://broadview.edu/
Columbia College Utah,,https://www.ccis.edu/locations/salt-lake
Eagle Gate College,,https://www.eaglegatecollege.edu/student-services/
Ensign College,,https://www.ensign.edu/contact
Fortis College,,https://www.fortis.edu/our-difference/student-technology-center.html
Joyce University of Nursing and Health Sciences,,https://www.joyce.edu/
Mount Liberty College,,https://mountlibertycollege.org/student-faqs/
Neumont College of Computer Science,,https://www.neumont.edu/contact-us
Provo College,,https://www.provocollege.edu/student-services/
Rocky Mountain University of Health Professions,,https://rm.edu/student-affairs/
Rocky Vista University,,https://www.rvu.edu/admissions/contact-us/
Roseman University of Health Sciences,,https://www.roseman.edu/
Salt Lake Baptist College / Salt Lake Bible College,406,https://saltlakebiblecollege.org/
Stevens-Henager College,,https://www.stevenshenager.edu/
Webster University Utah,,https://www.webster.edu/online/webinars-support.php
Western Governors University,,https://www.wgu.edu/contact.html
Westminster College,,https://my.westminster.edu/ics/Help/
Salt Lake Community College,,https://www.slcc.edu/online/services-support.aspx
Snow College,,https://www.snow.edu/general/contact.html
Bridgerland Technical College,,https://btech.edu/contact-us/
Davis Technical College,,https://www.davistech.edu/
Dixie Technical College,,https://dixietech.edu/
Mountainland Technical College,403,https://mtec.edu/contact/
Ogden–Weber Technical College,,https://www.otech.edu/about-us/contact-us/
Southwest Technical College,ERROR,
Tooele Technical College,406,https://tooeletech.edu/support-services/
Uintah Basin Technical College,,https://ubtech.edu/contact/
Casper College,,https://www.caspercollege.edu/doit/services/
Central Wyoming College,,https://www.cwc.edu/support/
Eastern Wyoming College,403,https://ewc.wy.edu/
Gillette College,,https://www.sheridan.edu/academics/support-services/
Laramie County Community College,,https://lccc.wy.edu/chat2/index.aspx
Northwest College,,https://www.collegesupportnw.com/
Sheridan College,,https://www.sheridancollege.ca/en/about/contact
Western Wyoming Community College,,https://www.westernwyoming.edu/academics/support-services/index.php
University of Wyoming,,https://support.uwyo.edu/
Wyoming Catholic College,403,https://wyomingcatholic.edu/support/
Wyoming Technical Institute (WyoTech),403,https://www.wyotech.edu/
Wind River Tribal College,,https://www.cwc.edu/windriver/
University of Washington,,https://itconnect.uw.edu/help/chat/
Washington State University,,https://online.wsu.edu/apply/chat-with-us/
Western Washington University,,https://atus.wwu.edu/help-desk
Eastern Washington University,,https://support.ewu.edu/
Central Washington University,ERROR,
Evergreen State College,,https://www.evergreen.edu/directory/offices/technology-support-center
Pacific Lutheran University,,https://www.plu.edu/admission/
University of Puget Sound,,https://www.pugetsound.edu/technology-services/help-support
Walla Walla University,,https://www.wallawalla.edu/resources/technical-support-services
Whitman College,,https://www.whitman.edu/technology-services
